職缺內容,公司名稱,地址,薪資,網址
【總公司】資深程式設計師/主任工程師 (專案開發部),嘉里大榮物流股份有限公司,台北市中正區,待遇面議,//www.104.com.tw/job/7qrsv?jobsource=hotjob_chr
資深網路程式設計師,環球暢貨行銷股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/4i43s?jobsource=hotjob_chr
★年後報到★ 資安工程師(仁德廠),奇美實業股份有限公司,台南市仁德區,待遇面議,//www.104.com.tw/job/7l286?jobsource=hotjob_chr
電機工程師,裕發科技股份有限公司,台中市烏日區,"月薪45,000~70,000元",//www.104.com.tw/job/6v6ef?jobsource=hotjob_chr
.NET 工程師(Junior/Senior),全支付電子支付股份有限公司,台北市中山區,"年薪560,000~1,300,000元",//www.104.com.tw/job/7996x?jobsource=hotjob_chr
Angular 前端工程師  Angular Frontend Engineer（可遠端）,索爾斯科技有限公司,新竹縣竹北市,"月薪45,000元以上",//www.104.com.tw/job/7sii3?jobsource=hotjob_chr
前端工程師 Frontend Engineer（可遠端）,索爾斯科技有限公司,新竹縣竹北市,"月薪40,000元以上",//www.104.com.tw/job/7it39?jobsource=hotjob_chr
資訊設備專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7o0yy?jobsource=hotjob_chr
軟體設計工程師,山川自動系統股份有限公司,高雄市橋頭區,"月薪26,000元以上",//www.104.com.tw/job/zw3n?jobsource=hotjob_chr
IT Business Applications Engineer,"Kloudless, A Netskope Company_科迪股份有限公司",台北市信義區,待遇面議,//www.104.com.tw/job/7rcx6?jobsource=hotjob_chr
【電子商務部】Web Backend  Developer 網頁後端開發工程師,積大企業有限公司,新北市汐止區,"月薪38,000~45,000元",//www.104.com.tw/job/6yb7d?jobsource=jolist_d_date
Technical Project Manager,倫塔股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/6zuvv?jobsource=jolist_d_date
Junior 網路/系統工程師,旺威科技有限公司,台北市大安區,"月薪40,000~55,000元",//www.104.com.tw/job/5v4w7?jobsource=jolist_d_date
技術支援工程師/技術支援助理工程師,達煬科技股份有限公司,台北市信義區,"月薪30,000~48,000元",//www.104.com.tw/job/634ty?jobsource=jolist_d_date
網路工程師,壹壹柒柒科技股份有限公司,台北市內湖區,"月薪40,000~70,000元",//www.104.com.tw/job/68lnn?jobsource=jolist_d_date
APP程式開發人員,梅科科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7p7uw?jobsource=jolist_d_date
資料庫維運專員,新高橋藥局/藥妝_聯橋健康事業股份有限公司,高雄市左營區,"月薪30,000~40,000元",//www.104.com.tw/job/7btlz?jobsource=jolist_d_date
GW-軟體開發工程師(工作地點:竹北),凱碩科技股份有限公司,新竹縣竹北市,"月薪31,000~70,000元",//www.104.com.tw/job/7m4my?jobsource=jolist_d_date
AOI軟體工程師,捷智科技股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/3clgi?jobsource=jolist_d_date
Junior Back-end Engineer,旭捷資訊有限公司,台北市大安區,"月薪50,000~70,000元",//www.104.com.tw/job/7f52q?jobsource=jolist_d_date
系統分析師 Tech SME-Subjected Matter Expert /Application Support Engineer,星展(台灣)商業銀行股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7en7c?jobsource=jolist_d_date
軟體助理工程師,恆續科技股份有限公司,新北市中和區,"月薪30,000~36,000元",//www.104.com.tw/job/7gmxo?jobsource=jolist_d_date
QA Engineer _軟體測試工程師,艾超科技有限公司,台北市信義區,"月薪45,000~70,000元",//www.104.com.tw/job/7dxlr?jobsource=jolist_d_date
FAE工程師(MCU),增你強股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/68zt8?jobsource=jolist_d_date
PM,奈特視訊科技股份有限公司,新竹市,"月薪40,000~80,000元",//www.104.com.tw/job/74ve7?jobsource=jolist_d_date
系統設計/軟韌體 工程師,台船動力科技股份有限公司,基隆市中正區,待遇面議,//www.104.com.tw/job/7nb7o?jobsource=jolist_d_date
軟韌體測試工程師,京潤科技股份有限公司,台北市南港區,待遇面議,//www.104.com.tw/job/2u5tm?jobsource=jolist_d_date
雲端技術工程師 Cloud Technical Engineer,蓋亞資訊有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/65dcx?jobsource=jolist_d_date
【輪班】網管工程師,倫發科技有限公司,台北市內湖區,"月薪32,000~50,000元",//www.104.com.tw/job/48fyq?jobsource=jolist_d_date
SSD 韌體工程師(Back-end),弦知科技股份有限公司,新竹市,待遇面議,//www.104.com.tw/job/7soth?jobsource=jolist_d_date
